TMEM43	GO:0071763
WNT5A	GO:0010033
WNT5A	GO:0010595
WNT5A	GO:0010820
WNT5A	GO:0016055
WNT5A	GO:0030216
WNT5A	GO:0030825
WNT5A	GO:0032148
WNT5A	GO:0032755
WNT5A	GO:0034613
WNT5A	GO:0042060
WNT5A	GO:0043032
WNT5A	GO:0043066
WNT5A	GO:0045080
WNT5A	GO:0045599
WNT5A	GO:0045732
WNT5A	GO:0045766
WNT5A	GO:0045778
WNT5A	GO:0045892
WNT5A	GO:0045893
WNT5A	GO:0045944
WNT5A	GO:0048146
WNT5A	GO:0048706
WNT5A	GO:0048806
WNT5A	GO:0050718
WNT5A	GO:0050729
WNT5A	GO:0051092
WNT5A	GO:0060021
WNT5A	GO:0060324
WNT5A	GO:0060340
WNT5A	GO:0060760
WNT5A	GO:0060907
WNT5A	GO:0071222
WNT5A	GO:0071277
WNT5A	GO:0071346
WNT5A	GO:0071425
WNT5A	GO:0071560
WNT5A	GO:0072201
WNT5A	GO:0090037
WNT5A	GO:0090090
WNT5A	GO:1900020
CEACAM1	GO:0001915
CEACAM1	GO:0002859
CEACAM1	GO:0030334
CEACAM1	GO:0043318
CEACAM1	GO:0044319
CEACAM1	GO:0050860
KIR3DL1	GO:0042267
LINS1	GO:0050890
PTPN22	GO:0006470
PTPN22	GO:0010507
PTPN22	GO:0010628
PTPN22	GO:0010629
PTPN22	GO:0031663
PTPN22	GO:0032481
PTPN22	GO:0032496
PTPN22	GO:0032720
PTPN22	GO:0032817
PTPN22	GO:0034141
PTPN22	GO:0034145
PTPN22	GO:0043508
PTPN22	GO:0050860
PTPN22	GO:0050868
PTPN22	GO:0070374
PTPN22	GO:0070433
PTPN22	GO:0071225
PTPN22	GO:1900165
PTPN22	GO:1901222
PTPN22	GO:1902523
PTPN22	GO:1902715
PTPN22	GO:1903753
PTPN22	GO:2000483
SPAG5	GO:0000070
SPAG5	GO:0007051
SPAG5	GO:0007059
SPAG5	GO:0051988
SPAG5	GO:0071539
PLEC	GO:0031581
NPY5R	GO:0003151
NPY5R	GO:0003214
EPCAM	GO:0008284
EPCAM	GO:0023019
EPCAM	GO:0045944
EPCAM	GO:0048863
EPCAM	GO:2000048
EPCAM	GO:2000648
EPRS	GO:0017148
EPRS	GO:0071346
TAS2R30	GO:0001580
KCNJ12	GO:0006813
KCNJ12	GO:0051289
TRMT10A	GO:0030488
SNX16	GO:0006622
SNX16	GO:0008333
SNX16	GO:0045022
VIPAS39	GO:0006886
VIPAS39	GO:0008333
VIPAS39	GO:0097352
KCNK17	GO:0006813
SPTBN1	GO:0000281
SPTBN1	GO:0007009
SPTBN1	GO:0043001
SPTBN1	GO:0071709
SPTBN1	GO:0072661
SPTBN1	GO:1900042
SPTBN1	GO:1903076
SPTBN1	GO:1903078
NFU1	GO:0016226
EXOC2	GO:2000535
B3GNT2	GO:0030311
PRKAR2A	GO:2000480
ADARB1	GO:0006382
ADARB1	GO:0008285
ADARB1	GO:0030336
ADARB1	GO:0044387
ADARB1	GO:0045070
ADARB1	GO:0051726
ST8SIA2	GO:0001574
ST8SIA2	GO:0006486
ST8SIA2	GO:0006491
ST8SIA2	GO:0009311
TUBB8	GO:0001556
TUBB8	GO:0007056
PRKCA	GO:0001938
PRKCA	GO:0002159
PRKCA	GO:0006468
PRKCA	GO:0010595
PRKCA	GO:0030335
PRKCA	GO:0031666
PRKCA	GO:0034351
PRKCA	GO:0035408
PRKCA	GO:0043536
PRKCA	GO:0045766
PRKCA	GO:0045785
PRKCA	GO:0045931
PRKCA	GO:0070555
PRKCA	GO:0090330
DAGLA	GO:0019369
DAGLA	GO:0042136
DAGLA	GO:0046340
CA12	GO:0055064
TRPM1	GO:0007216
TRPM1	GO:0007601
TRPM1	GO:0060402
TRPM1	GO:0071482
RAET1E	GO:0042267
CRNN	GO:0009408
CRNN	GO:0016337
NFATC3	GO:0045944
NFATC3	GO:1902894
BCL11A	GO:0000122
CXCL11	GO:0006935
CXCL11	GO:0010818
CXCL11	GO:0030816
CXCL11	GO:0042127
CXCL11	GO:0043950
CXCL11	GO:0051281
CXCL11	GO:0070098
EME1	GO:0072429
POLD1	GO:0000731
POLD1	GO:0006260
POLD1	GO:0006287
POLD1	GO:0006297
POLD1	GO:0034644
POLD1	GO:0055089
TFR2	GO:0006898
TFR2	GO:0010039
TFR2	GO:0033572
TFR2	GO:0045807
TFR2	GO:0045944
TFR2	GO:0055072
TFR2	GO:0071281
TFR2	GO:0090277
TFR2	GO:0097460
TFR2	GO:1903319
KLF7	GO:0045944
SHMT1	GO:0006544
SHMT1	GO:0006563
SHMT1	GO:0006565
SHMT1	GO:0009113
SHMT1	GO:0035999
SHMT1	GO:0046653
SHMT1	GO:0046655
SHMT1	GO:0051262
SHMT1	GO:0051289
SHMT1	GO:1904482
NDUFS2	GO:0006979
KLHL20	GO:0006895
KLHL20	GO:0016567
KLHL20	GO:0043066
KLHL20	GO:0043161
KLHL20	GO:1990390
DENND4B	GO:0032483
PLPP4	GO:0046839
FOXO4	GO:0006355
FOXO4	GO:0007050
FOXO4	GO:0008285
FOXO4	GO:0008286
FOXO4	GO:0016525
FOXO4	GO:0045944
FOXO4	GO:0048863
FOXO4	GO:0051151
FOXO4	GO:0070317
FOXO4	GO:0071158
MAVS	GO:0001934
MAVS	GO:0002218
MAVS	GO:0002230
MAVS	GO:0007165
MAVS	GO:0032727
MAVS	GO:0032728
MAVS	GO:0032757
MAVS	GO:0032760
MAVS	GO:0033160
MAVS	GO:0042742
MAVS	GO:0042993
MAVS	GO:0043123
MAVS	GO:0045071
MAVS	GO:0045087
MAVS	GO:0045944
MAVS	GO:0051091
MAVS	GO:0051607
MAVS	GO:0060340
MAVS	GO:0071360
MAVS	GO:0071651
MAVS	GO:0071660
MAVS	GO:1900063
PHF5A	GO:0000398
STK36	GO:0051090
IDO1	GO:0070234
IDO1	GO:0046006
SAMHD1	GO:0006203
SAMHD1	GO:0045088
SAMHD1	GO:0046061
SAMHD1	GO:0051289
SAMHD1	GO:0051607
PARVB	GO:0030031
PARVB	GO:0030032
PARVB	GO:0031532
PARVB	GO:0071963
VCL	GO:0002009
VCL	GO:0034333
VCL	GO:0034394
VCL	GO:0043297
VCL	GO:0070527
VCL	GO:0090136
ATP6V0A1	GO:0016241
DHRS9	GO:0008209
DHRS9	GO:0042448
DHRS9	GO:0042904
GALNT3	GO:0018242
GALNT3	GO:0018243
ALOX5	GO:0019370
NOX4	GO:0006801
NOX4	GO:0010467
NOX4	GO:0050667
NOX4	GO:0055114
NOX4	GO:0072593
HIRA	GO:0006336
CCND2	GO:0001934
CCND2	GO:0008284
CCND2	GO:0043066
CCND2	GO:0045737
CCND2	GO:1900087
POLR2A	GO:0006353
POLR2A	GO:0006366
POLR2A	GO:0033120
EIF3F	GO:0006413
EIF3F	GO:0016579
EIF3F	GO:0075522
SIK2	GO:0006468
SIK2	GO:0035556
SIK2	GO:0046777
RASAL3	GO:0046580
RASAL3	GO:0051142
RAB33A	GO:0019882
NUDT16	GO:0006382
NUDT16	GO:0006402
NUDT16	GO:0008284
NUDT16	GO:0016077
NUDT16	GO:0046709
NUDT16	GO:0090068
NUDT16	GO:1901639
NUDT16	GO:2000781
LIMS1	GO:0010628
LIMS1	GO:0010811
LIMS1	GO:0043547
LIMS1	GO:0045184
LIMS1	GO:0045892
LIMS1	GO:0051894
LIMS1	GO:0071560
LIMS1	GO:1900026
LIMS1	GO:0001837
LIMS1	GO:0050678
USP6NL	GO:0007030
USP6NL	GO:0019068
USP6NL	GO:0035526
USP6NL	GO:0048227
USP6NL	GO:1903358
USP6NL	GO:1902017
SIRT2	GO:0000122
SIRT2	GO:0006476
SIRT2	GO:0008285
SIRT2	GO:0010507
SIRT2	GO:0014065
SIRT2	GO:0021762
SIRT2	GO:0034983
SIRT2	GO:0035729
SIRT2	GO:0042177
SIRT2	GO:0043161
SIRT2	GO:0043491
SIRT2	GO:0045843
SIRT2	GO:0045892
SIRT2	GO:0045944
SIRT2	GO:0048012
SIRT2	GO:0051726
SIRT2	GO:0061428
SIRT2	GO:0070932
SIRT2	GO:0070933
SIRT2	GO:0071219
SIRT2	GO:0071456
SIRT2	GO:0090042
SIRT2	GO:1900425
SIRT2	GO:2000777
TLX2	GO:0045944
TAS2R31	GO:0001580
PABPN1	GO:0016973
DNAH5	GO:0003341
DNAH5	GO:0007368
DNAH5	GO:0030317
DNAH5	GO:0036158
DNAH5	GO:0060271
ORAI1	GO:0051924
ORAI1	GO:0051928
FBXO5	GO:0051436
ATP6V1C2	GO:0030177
ADAM15	GO:0001953
ADAM15	GO:0007229
ADAM15	GO:0030308
ADAM15	GO:0030336
ADAM15	GO:0045087
ADAM15	GO:0070528
ADAM15	GO:1900121
ADAM15	GO:0006915
RECQL4	GO:0000733
RECQL4	GO:0006260
RECQL4	GO:0032204
RECQL4	GO:0032508
RECQL4	GO:0061820
RECQL4	GO:1904354
HSPD1	GO:0002368
HSPD1	GO:0002755
HSPD1	GO:0002842
HSPD1	GO:0006919
HSPD1	GO:0006986
HSPD1	GO:0032727
HSPD1	GO:0032729
HSPD1	GO:0032733
HSPD1	GO:0032735
HSPD1	GO:0032755
HSPD1	GO:0042026
HSPD1	GO:0042100
HSPD1	GO:0042110
HSPD1	GO:0042113
HSPD1	GO:0043032
HSPD1	GO:0043065
HSPD1	GO:0043066
HSPD1	GO:0048291
HSPD1	GO:0050821
HSPD1	GO:0050870
EVI5	GO:0042147
EVI5	GO:1902017
ATG7	GO:0000422
ATG7	GO:0006497
ATG7	GO:0006914
ATG7	GO:0009267
ATG7	GO:0010508
ATG7	GO:0016236
ATG7	GO:0031401
ATG7	GO:0039521
ATG7	GO:0043065
ATG7	GO:0045732
ATG7	GO:0051607
ATG7	GO:0071455
CENPV	GO:0001667
CENPV	GO:0031508
CENPV	GO:0032467
CENPV	GO:0033044
CENPV	GO:0034508
HSPA1B	GO:0010628
HSPA1B	GO:0031396
HSPA1B	GO:0031397
HSPA1B	GO:0032757
HSPA1B	GO:0034605
HSPA1B	GO:0042026
HSPA1B	GO:0046034
HSPA1B	GO:0050821
HSPA1B	GO:0051092
HSPA1B	GO:0060548
HSPA1B	GO:0070370
HSPA1B	GO:0070434
HSPA1B	GO:0090063
HSPA1B	GO:0090084
HSPA1B	GO:1901673
HSPA1B	GO:1903265
HSPA1B	GO:2001240
HSPA1B	GO:0010941
CREB3L3	GO:0045944
CREB3L3	GO:1990440
GPT2	GO:0006103
GPT2	GO:0042851
CDKN2B	GO:0000079
CDKN2B	GO:0000086
CDKN2B	GO:0007050
CDKN2B	GO:0007093
CDKN2B	GO:0008285
CDKN2B	GO:0030219
CDKN2B	GO:0030511
CDKN2B	GO:0031668
CDKN2B	GO:0031670
CDKN2B	GO:0042326
CDKN2B	GO:0050680
TAF12	GO:0006352
TAF12	GO:0006367
TAF12	GO:0051091
KCNMB2	GO:0001508
KCNMB2	GO:0005513
KCNMB2	GO:0006813
KCNMB2	GO:0019228
DPYS	GO:0006208
DPYS	GO:0006212
AGTR1	GO:0001822
AGTR1	GO:0007186
AGTR1	GO:0007204
AGTR1	GO:0007266
AGTR1	GO:0010873
AGTR1	GO:0019229
AGTR1	GO:0019722
AGTR1	GO:0032270
AGTR1	GO:0032430
AGTR1	GO:0038166
AGTR1	GO:0051482
AGTR1	GO:0060326
AGTR1	GO:0086097
WRAP53	GO:0032203
WRAP53	GO:0032212
WRAP53	GO:0051973
WRAP53	GO:0070200
WRAP53	GO:0090666
WRAP53	GO:0090671
WRAP53	GO:1904851
EID1	GO:0000122
EID1	GO:0030154
EID1	GO:0045892
GSTP1	GO:0006469
GSTP1	GO:0006749
GSTP1	GO:0006805
GSTP1	GO:0009890
GSTP1	GO:0032691
GSTP1	GO:0032720
GSTP1	GO:0043407
GSTP1	GO:0043508
GSTP1	GO:0043651
GSTP1	GO:0051771
GSTP1	GO:0070373
GSTP1	GO:0071638
GSTP1	GO:2001237
NR4A3	GO:0010828
NR4A3	GO:0045944
NR4A3	GO:0048660
NR4A3	GO:1900625
EEF1E1	GO:2000774
MYO1C	GO:0006605
MYO1C	GO:0006612
MYO1C	GO:0030335
MYO1C	GO:0038089
MYO1C	GO:0090314
MYO1C	GO:1900748
MYO1C	GO:2000810
RNF152	GO:0010508
RNF152	GO:0034198
RNF152	GO:0070534
RNF152	GO:0070936
RNF152	GO:1904262
SOCS2	GO:0032355
SOCS2	GO:0032870
SOCS2	GO:0060396
CERK	GO:0006672
TRIM28	GO:0006281
TRIM28	GO:0007265
TRIM28	GO:0016925
TRIM28	GO:0042993
TRIM28	GO:0045087
TRIM28	GO:0045739
TRIM28	GO:0045892
TRIM28	GO:0051259
TRIM28	GO:0090309
TRIM28	GO:1902187
TMEM203	GO:0006874
DNAJC13	GO:0001649
DNAJC13	GO:0007032
DNAJC13	GO:1902954
DNAJC13	GO:2000641
PRSS50	GO:0006508
SLC22A3	GO:0015695
SLC22A3	GO:0015697
PF4	GO:0010628
PF4	GO:0010744
PF4	GO:0016525
PF4	GO:0019221
PF4	GO:0030168
PF4	GO:0030595
PF4	GO:0030816
PF4	GO:0032760
PF4	GO:0042127
PF4	GO:0043950
PF4	GO:0045347
PF4	GO:0045651
PF4	GO:0045653
PF4	GO:0045918
PF4	GO:0045944
PF4	GO:2001240
SAA1	GO:0000187
SAA1	GO:0007204
SAA1	GO:0045785
SAA1	GO:0048246
SAA1	GO:0048247
SAA1	GO:0050715
NAPRT	GO:0006979
KLHL42	GO:0000209
KLHL42	GO:0032886
KLHL42	GO:0043161
SLC7A9	GO:0015804
SLC7A9	GO:0015811
SERPINB4	GO:0010466
SERPINB4	GO:0042270
S100A14	GO:0032496
S100A14	GO:0034142
S100A14	GO:0042742
S100A14	GO:0071624
S100A14	GO:0090026
RABEP1	GO:0016192
DNM2	GO:0031623
DNM2	GO:0033572
DNM2	GO:1903526
NAIF1	GO:0030308
NAIF1	GO:1902108
HIST1H2AB	GO:0008285
CNKSR1	GO:0007265
CNKSR1	GO:0007266
N4BP1	GO:0034644
USP17L2	GO:0000075
USP17L2	GO:0007093
USP17L2	GO:0010955
USP17L2	GO:0016579
USP17L2	GO:0030334
USP17L2	GO:0031064
USP17L2	GO:0034260
USP17L2	GO:0042127
USP17L2	GO:0042981
USP17L2	GO:0043547
USP17L2	GO:0050691
USP17L2	GO:0070536
USP17L2	GO:0071108
USP17L2	GO:0071586
USP17L2	GO:0090315
USP17L2	GO:1900027
USP17L2	GO:1900245
USP17L2	GO:1900246
MAP3K14	GO:0043123
MAP3K14	GO:0071260
CCL4	GO:0009636
CCL4	GO:0043922
CCL4	GO:0050850
CCL4	GO:0051928
CCL4	GO:2000503
PKP3	GO:0002159
PKP3	GO:0090002
RNF103	GO:0016567
RNF103	GO:0030433
HOXA10	GO:0045944
NONO	GO:1903377
TMEM161A	GO:0032526
TMEM161A	GO:0034599
TMEM161A	GO:0034644
TMEM161A	GO:0045739
TMEM161A	GO:1902230
CAMSAP1	GO:0007010
CAMSAP1	GO:0022604
CAMSAP1	GO:0031175
EEF1A1	GO:0071364
SLC30A4	GO:0009636
SLC30A4	GO:0061088
FASN	GO:0001649
WWP2	GO:0000122
WWP2	GO:0010629
WWP2	GO:0016567
WWP2	GO:0032410
WWP2	GO:0034765
WWP2	GO:0042391
WWP2	GO:0043161
WWP2	GO:0051224
WWP2	GO:0051865
WWP2	GO:1901016
ENPP4	GO:0030194
ENPP4	GO:0046130
ELOVL3	GO:0019367
ELOVL3	GO:0034625
ELOVL3	GO:0034626
ELOVL3	GO:0042761
TNFAIP1	GO:0006955
TNFAIP1	GO:0016477
TNFAIP1	GO:0016567
TNFAIP1	GO:0035024
TNFAIP1	GO:0043149
TNFAIP1	GO:0043161
KLK3	GO:0002778
KLK3	GO:0006508
FAM20B	GO:1903955
GXYLT2	GO:0016266
ABCC11	GO:0015711
ABCC11	GO:0015865
EGR2	GO:0045944
STOML2	GO:0006851
STOML2	GO:0006874
STOML2	GO:0007005
STOML2	GO:0010918
STOML2	GO:0042776
STOML2	GO:0050852
STOML2	GO:0051259
STOML2	GO:0090297
STOML2	GO:1900210
POLL	GO:0000724
POLL	GO:0006287
POLL	GO:0006289
POLL	GO:0006303
POLL	GO:0071897
MTERF3	GO:0045892
CEP68	GO:0010457
CEP68	GO:0033365
CEP68	GO:0051297
TASP1	GO:0006508
TASP1	GO:0045893
SF3A1	GO:0000398
SF3A1	GO:0006397
SCN2B	GO:0035725
SCN2B	GO:0060048
SCN2B	GO:0060371
SCN2B	GO:0086002
SCN2B	GO:0086012
SCN2B	GO:0086091
SCN2B	GO:2000649
IRF8	GO:0000122
IRF8	GO:0045944
IRF8	GO:0071346
CCDC113	GO:0060271
CIDEC	GO:0006915
CIDEC	GO:0034389
CIDEC	GO:0097194
SLK	GO:0030334
SLK	GO:0031122
SLK	GO:0042981
SLK	GO:0046777
SLK	GO:0051893
RAB6C	GO:0010824
RAB6C	GO:0022402
RAB6C	GO:0042493
PHLDA3	GO:0042771
PHLDA3	GO:0043065
PHLDA3	GO:0051898
KRT83	GO:0007568
KRT83	GO:0042633
MTBP	GO:0034501
C5orf42	GO:0060271
TSPYL2	GO:0008156
TSPYL2	GO:0030308
TSPYL2	GO:0045859
TMEM33	GO:0034976
TMEM33	GO:1903371
TMEM33	GO:1903896
TMEM33	GO:1903899
NLK	GO:0007179
NLK	GO:0050821
C14orf166	GO:0006388
C14orf166	GO:0045944
HK1	GO:0072655
HK1	GO:0072656
IFNLR1	GO:0050691
OPN4	GO:0007602
NUDT3	GO:0071544
INTS3	GO:0006281
INTS3	GO:0006974
INTS3	GO:0007093
INTS3	GO:0010212
INTS3	GO:0016180
RHOD	GO:0030032
RHOD	GO:0030335
RHOD	GO:0045785
RHOD	GO:0048041
RHOD	GO:0051017
SLC43A1	GO:0015804
HHIP	GO:0009968
RCE1	GO:0071586
RAD1	GO:0000077
RAD1	GO:0021762
RAD1	GO:0051598
RAD1	GO:0071479
ZXDA	GO:0045893
IDO2	GO:0019441
CALHM1	GO:0006812
CALHM1	GO:0034765
CALHM1	GO:0051260
GLRX	GO:0045838
GLRX	GO:2000651
TAS2R3	GO:0001580
TIAF1	GO:0007249
TIAF1	GO:0043066
BLOC1S5	GO:0032402
BLOC1S5	GO:0035646
BLOC1S5	GO:0050942
NUCKS1	GO:0000724
NUCKS1	GO:0006275
NUCKS1	GO:0019046
NUCKS1	GO:0031297
NUCKS1	GO:0036297
NUCKS1	GO:0043923
NUCKS1	GO:0044829
NUCKS1	GO:0060382
NUCKS1	GO:0071481
NUCKS1	GO:1990968
NUCKS1	GO:1990969
ZDHHC5	GO:0018345
UBXN4	GO:0030433
SLIT2	GO:0001657
SLIT2	GO:0001933
SLIT2	GO:0002042
SLIT2	GO:0002689
SLIT2	GO:0007411
SLIT2	GO:0008045
SLIT2	GO:0010593
SLIT2	GO:0010596
SLIT2	GO:0014912
SLIT2	GO:0021836
SLIT2	GO:0021972
SLIT2	GO:0030308
SLIT2	GO:0030336
SLIT2	GO:0030837
SLIT2	GO:0031290
SLIT2	GO:0032870
SLIT2	GO:0035385
SLIT2	GO:0043065
SLIT2	GO:0043116
SLIT2	GO:0048754
SLIT2	GO:0048846
SLIT2	GO:0050919
SLIT2	GO:0050929
SLIT2	GO:0051058
SLIT2	GO:0051414
SLIT2	GO:0061364
SLIT2	GO:0070100
SLIT2	GO:0071504
SLIT2	GO:0071672
SLIT2	GO:0071676
SLIT2	GO:0090024
SLIT2	GO:0090260
SLIT2	GO:0090288
SLIT2	GO:0021834
RAB11FIP5	GO:0070164
RAB11FIP5	GO:0071468
RAB11FIP5	GO:2000008
GJA5	GO:0001525
GJA5	GO:0003151
GJA5	GO:0003174
GJA5	GO:0003193
GJA5	GO:0003281
GJA5	GO:0003283
GJA5	GO:0016264
GJA5	GO:0055117
GJA5	GO:0060371
GJA5	GO:0086044
GJA5	GO:0086053
GJA5	GO:0086054
GJA5	GO:0086064
GJA5	GO:0098904
GJA5	GO:0098905
GJA5	GO:0098906
GJA5	GO:0098910
PKD1L3	GO:0050915
AKAIN1	GO:0008104
TCTN3	GO:0007224
CLDN1	GO:0045216
CLDN1	GO:0051260
CLDN1	GO:0051291
CLDN1	GO:0061436
CLDN1	GO:0070830
CCDC103	GO:0001947
CCDC103	GO:0003341
CCDC103	GO:0036158
CCDC103	GO:0036159
CCDC103	GO:0070286
CCDC103	GO:0071907
BEX2	GO:0042981
BEX2	GO:0051726
RGMA	GO:0045944
PRG3	GO:0001694
PRG3	GO:0017148
PRG3	GO:0019370
PRG3	GO:0042119
PRG3	GO:0042554
PRG3	GO:0045416
PRG3	GO:0045575
RSPH9	GO:0003341
RSPH9	GO:0035082
DDX39A	GO:0000398
DDX39A	GO:0006406
CARM1	GO:0016571
CARM1	GO:0034970
TRIM37	GO:0000122
TRIM37	GO:0032088
TRIM37	GO:0035518
TRIM37	GO:0036353
TRIM37	GO:0046600
TRIM37	GO:0051091
TRIM37	GO:0051092
TRIM37	GO:0051865
TRIM37	GO:0070842
CHST9	GO:0006790
MTIF3	GO:0032790
MTIF3	GO:0070124
SEC61A1	GO:0006614
SEC61A1	GO:0006620
SEC61A1	GO:0007029
SEC61A1	GO:0016049
ALOX12	GO:0006928
ALOX12	GO:0008284
ALOX12	GO:0010656
ALOX12	GO:0019369
ALOX12	GO:0019372
ALOX12	GO:0019395
ALOX12	GO:0030307
ALOX12	GO:0030335
ALOX12	GO:0043066
ALOX12	GO:0043651
ALOX12	GO:0045766
ALOX12	GO:0045785
ALOX12	GO:1901751
ALOX12	GO:2001303
ALOX12	GO:2001306
TADA2A	GO:0043966
CTDSP1	GO:0006357
CTDSP1	GO:0006470
TDGF1P3	GO:0007165
NUAK1	GO:0006468
NUAK1	GO:0030155
NUAK1	GO:0035507
NUAK1	GO:2000772
HYAL1	GO:0000302
HYAL1	GO:0006954
HYAL1	GO:0009615
HYAL1	GO:0010634
HYAL1	GO:0030212
HYAL1	GO:0030213
HYAL1	GO:0030214
HYAL1	GO:0030307
HYAL1	GO:0030308
HYAL1	GO:0036120
HYAL1	GO:0044344
HYAL1	GO:0045766
HYAL1	GO:0045785
HYAL1	GO:0045927
HYAL1	GO:0046677
HYAL1	GO:0050679
HYAL1	GO:0051216
HYAL1	GO:0071347
HYAL1	GO:0071356
HYAL1	GO:0071467
HYAL1	GO:0071493
HYAL1	GO:1900106
TICAM2	GO:0034145
TICAM2	GO:0035669
TICAM2	GO:0043123
TICAM2	GO:0071222
TICAM2	GO:2000494
CASQ1	GO:0051258
CDK5R1	GO:0018105
CDK5R1	GO:0018107
CDK5R1	GO:0045892
ARF4	GO:0006471
ARF4	GO:0006890
ARF4	GO:0016477
ARF4	GO:0031584
ARF4	GO:0043066
ARF4	GO:0045944
ARF4	GO:0060996
ARF4	GO:2000377
TP53INP1	GO:0010508
TP53INP1	GO:0045893
TP53INP1	GO:0048102
TIMM21	GO:0030150
TIMM21	GO:0032981
TIMM21	GO:0033617
ATXN10	GO:0007399
ATXN10	GO:0031175
SMC1A	GO:0007062
SMC1A	GO:0007093
SMC1A	GO:0009314
SMC1A	GO:0032876
SMC1A	GO:0042770
HCFC1	GO:0006355
HCFC1	GO:0010628
HCFC1	GO:0043254
HCFC1	GO:0043981
HCFC1	GO:0043982
HCFC1	GO:0043984
HCFC1	GO:0050821
SUMO3	GO:0016925
SKP1	GO:0016567
SKP1	GO:0031146
SKP1	GO:0035518
SKP1	GO:0051457
POLR2D	GO:0006366
SNAPIN	GO:0008333
SNAPIN	GO:0016079
SNAPIN	GO:0032418
SNAPIN	GO:0043393
SNAPIN	GO:0048489
OTUB1	GO:0006974
OTUB1	GO:0071108
OTUB1	GO:1901315
OTUB1	GO:2000780
RPS13	GO:0033119
SLC6A8	GO:0015881
CRAT	GO:0019254
PRDM9	GO:0006311
PRDM9	GO:0010845
ZDHHC6	GO:0018345
UPK1B	GO:0030855
SETDB1	GO:0007265
SETDB1	GO:0090309
PAK3	GO:0030833
CCDC151	GO:0003341
CCDC151	GO:0007368
CCDC151	GO:0036158
ATP1A3	GO:0006883
ATP1A3	GO:0010107
ATP1A3	GO:0030007
ATP1A3	GO:0036376
PLPP3	GO:0001933
PLPP3	GO:0034109
PLPP3	GO:0044328
PLPP3	GO:0044329
PLPP3	GO:0044330
PLPP3	GO:0050821
PLPP3	GO:0051091
BNIPL	GO:0006915
BNIPL	GO:0008285
BNIPL	GO:0040009
DAG1	GO:0006509
DAG1	GO:0006607
DAG1	GO:0007016
DAG1	GO:0010470
DAG1	GO:0010717
DAG1	GO:0019048
DAG1	GO:0030336
DAG1	GO:0034453
DAG1	GO:0043409
DAG1	GO:0051898
DAG1	GO:1904261
NAA30	GO:0017196
CITED2	GO:0000122
CITED2	GO:0001666
CITED2	GO:0007507
CITED2	GO:0008283
CITED2	GO:0010628
CITED2	GO:0010629
CITED2	GO:0030336
CITED2	GO:0034405
CITED2	GO:0035360
CITED2	GO:0043627
CITED2	GO:0045892
CITED2	GO:0045893
CITED2	GO:0045944
CITED2	GO:0061428
TDRD12	GO:1903955
ANKRD50	GO:1990126
CDC14B	GO:0006470
CDC14B	GO:0031572
CDC14B	GO:1904668
PDPK1	GO:0006468
PDPK1	GO:0006469
PDPK1	GO:0007173
PDPK1	GO:0010518
PDPK1	GO:0016477
PDPK1	GO:0018107
PDPK1	GO:0019722
PDPK1	GO:0030512
PDPK1	GO:0032148
