from,to,weight,type,gene
b1967,b1628,0.462,obo1,b3169
b1628,b3959,0.385,obo2,b3169
b3959,b0118,0.308,obo1,b3169
b0118,b0863,0.231,obo2,b3169
b0863,b2600,0.154,obo1,b3169
b2600,b2281,0.077,obo2,b3169
b2281,b1628,0.000,obo1,b3169
b3168,b1886,0.900,obo1,b3168
b1886,b3640,0.800,obo2,b3168
b3640,b2199,0.700,obo1,b3168
b2199,b2600,0.600,obo2,b3168
b2600,b2281,0.500,obo1,b3168
b2281,b1628,0.400,obo2,b3168
b1628,b3959,0.300,obo1,b3168
b3959,b0118,0.200,obo2,b3168
b0118,b0863,0.100,obo1,b3168
b0863,b2600,0.000,obo2,b3168
b2266,b0051,0.500,obo1,b2266
b0051,b2266,0.000,obo2,b2266
b1625,b1778,0.875,obo1,b1625
b1778,b2095,0.750,obo2,b1625
b2095,b1799,0.625,obo1,b1625
b1799,b3731,0.500,obo2,b1625
b3731,b3650,0.375,obo1,b1625
b3650,b0114,0.250,obo2,b1625
b0114,b0750,0.125,obo1,b1625
b0750,b0114,0.000,obo2,b1625
b1626,b0637,0.667,obo1,b1626
b0637,b2727,0.333,obo2,b1626
b2727,b0637,0.000,obo1,b1626
b1627,b0948,0.909,obo1,b1627
b0948,b3923,0.818,obo2,b1627
b3923,b2665,0.727,obo1,b1627
b2665,b1967,0.636,obo2,b1627
b1967,b1628,0.545,obo1,b1627
b1628,b3959,0.455,obo2,b1627
b3959,b0118,0.364,obo1,b1627
b0118,b0863,0.273,obo2,b1627
b0863,b2600,0.182,obo1,b1627
b2600,b2281,0.091,obo2,b1627
b2281,b1628,0.000,obo1,b1627
b1967,b1628,0.857,obo1,b1967
b1628,b3959,0.714,obo2,b1967
b3959,b0118,0.571,obo1,b1967
b0118,b0863,0.429,obo2,b1967
b0863,b2600,0.286,obo1,b1967
b2600,b2281,0.143,obo2,b1967
b2281,b1628,0.000,obo1,b1967
b3049,b0643,0.750,obo1,b3049
b0643,b0886,0.500,obo2,b3049
b0886,b0169,0.250,obo1,b3049
b0169,b3049,0.000,obo2,b3049
b0865,b1224,0.667,obo1,b0865
b1224,b1883,0.333,obo2,b0865
b1883,b1224,0.000,obo1,b0865
b3511,b3312,0.750,obo1,b3511
b3312,b0419,0.500,obo2,b3511
b0419,b0523,0.250,obo1,b3511
b0523,b0419,0.000,obo2,b3511
b3512,b1967,0.875,obo1,b3512
b1967,b1628,0.750,obo2,b3512
b1628,b3959,0.625,obo1,b3512
b3959,b0118,0.500,obo2,b3512
b0118,b0863,0.375,obo1,b3512
b0863,b2600,0.250,obo2,b3512
b2600,b2281,0.125,obo1,b3512
b2281,b1628,0.000,obo2,b3512
b0866,b1602,0.667,obo1,b0866
b1602,b1000,0.333,obo2,b0866
b1000,b1602,0.000,obo1,b0866
b1628,b3959,0.833,obo1,b1628
b3959,b0118,0.667,obo2,b1628
b0118,b0863,0.500,obo1,b1628
b0863,b2600,0.333,obo2,b1628
b2600,b2281,0.167,obo1,b1628
b2281,b1628,0.000,obo2,b1628
b0712,b2019,0.667,obo1,b0712
b2019,b4045,0.333,obo2,b0712
b4045,b2019,0.000,obo1,b0712
b0711,b1246,0.900,obo1,b0711
b1246,b4015,0.800,obo2,b0711
b4015,b1208,0.700,obo1,b0711
b1208,b1709,0.600,obo2,b0711
b1709,b0285,0.500,obo1,b0711
b0285,b0284,0.400,obo2,b0711
b0284,b1632,0.300,obo1,b0711
b1632,b1883,0.200,obo2,b0711
b1883,b1224,0.100,obo1,b0711
b1224,b1883,0.000,obo2,b0711
b0862,b3260,0.750,obo1,b0862
b3260,b3957,0.500,obo2,b0862
b3957,b2398,0.250,obo1,b0862
b2398,b3957,0.000,obo2,b0862
b3309,b3260,0.750,obo1,b3309
b3260,b3957,0.500,obo2,b3309
b3957,b2398,0.250,obo1,b3309
b2398,b3957,0.000,obo2,b3309
b2398,b3957,0.500,obo1,b2398
b3957,b2398,0.000,obo2,b2398
b3260,b3957,0.667,obo1,b3260
b3957,b2398,0.333,obo2,b3260
b2398,b3957,0.000,obo1,b3260
b3261,b0591,0.500,obo1,b3261
b0591,b3261,0.000,obo2,b3261
b3301,b0591,0.667,obo1,b3301
b0591,b3261,0.333,obo2,b3301
b3261,b0591,0.000,obo1,b3301
b3300,b0077,0.750,obo1,b3300
b0077,b0003,0.500,obo2,b3300
b0003,b1444,0.250,obo1,b3300
b1444,b0003,0.000,obo2,b3300
b3303,b1890,0.800,obo1,b3303
b1890,b2239,0.600,obo2,b3303
b2239,b2302,0.400,obo1,b3303
b2302,b1207,0.200,obo2,b3303
b1207,b1890,0.000,obo1,b3303
b3302,b0486,0.800,obo1,b3302
b0486,b1165,0.600,obo2,b3302
b1165,b3991,0.400,obo1,b3302
b3991,b1164,0.200,obo2,b3302
b1164,b3991,0.000,obo1,b3302
b3305,b2279,0.917,obo1,b3305
b2279,b2523,0.833,obo2,b3305
b2523,b1745,0.750,obo1,b3305
b1745,b1646,0.667,obo2,b3305
b1646,b2092,0.583,obo1,b3305
b2092,b0150,0.500,obo2,b3305
b0150,b2677,0.417,obo1,b3305
b2677,b2282,0.333,obo2,b3305
b2282,b1891,0.250,obo1,b3305
b1891,b0523,0.167,obo2,b3305
b0523,b0419,0.083,obo1,b3305
b0419,b0523,0.000,obo2,b3305
b3304,b0169,0.800,obo1,b3304
b0169,b3049,0.600,obo2,b3304
b3049,b0643,0.400,obo1,b3304
b0643,b0886,0.200,obo2,b3304
b0886,b0169,0.000,obo1,b3304
b3307,b1632,0.750,obo1,b3307
b1632,b1883,0.500,obo2,b3307
b1883,b1224,0.250,obo1,b3307
b1224,b1883,0.000,obo2,b3307
b3306,b1925,0.750,obo1,b3306
b1925,b1883,0.500,obo2,b3306
b1883,b1224,0.250,obo1,b3306
b1224,b1883,0.000,obo2,b3306
b3749,b4067,0.500,obo1,b3749
b4067,b3749,0.000,obo2,b3749
b1767,b0003,0.667,obo1,b1767
b0003,b1444,0.333,obo2,b1767
b1444,b0003,0.000,obo1,b1767
b3382,b3457,0.500,obo1,b3382
b3457,b3382,0.000,obo2,b3382
b1038,b0306,0.875,obo1,b1038
b0306,b2197,0.750,obo2,b1038
b2197,b1039,0.625,obo1,b1038
b1039,b2137,0.500,obo2,b1038
b2137,b2875,0.375,obo1,b1038
b2875,b3599,0.250,obo2,b1038
b3599,b1583,0.125,obo1,b1038
b1583,b2197,0.000,obo2,b1038
b1406,b3566,0.833,obo1,b1406
b3566,b1067,0.667,obo2,b1406
b1067,b1767,0.500,obo1,b1406
b1767,b0003,0.333,obo2,b1406
b0003,b1444,0.167,obo1,b1406
b1444,b0003,0.000,obo2,b1406
b4107,b0003,0.667,obo1,b4107
b0003,b1444,0.333,obo2,b4107
b1444,b0003,0.000,obo1,b4107
b1729,b0003,0.667,obo1,b1729
b0003,b1444,0.333,obo2,b1729
b1444,b0003,0.000,obo1,b1729
b0966,b1444,0.667,obo1,b0966
b1444,b0003,0.333,obo2,b0966
b0003,b1444,0.000,obo1,b0966
b0967,b0925,0.750,obo1,b0967
b0925,b0003,0.500,obo2,b0967
b0003,b1444,0.250,obo1,b0967
b1444,b0003,0.000,obo2,b0967
b4292,b2903,0.750,obo1,b4292
b2903,b4188,0.500,obo2,b4292
b4188,b2203,0.250,obo1,b4292
b2203,b4188,0.000,obo2,b4292
b2614,b3012,0.750,obo1,b2614
b3012,b0737,0.500,obo2,b2614
b0737,b2662,0.250,obo1,b2614
b2662,b2614,0.000,obo2,b2614
b4290,b1631,0.800,obo1,b4290
b1631,b0058,0.600,obo2,b4290
b0058,b1444,0.400,obo1,b4290
b1444,b0003,0.200,obo2,b4290
b0003,b1444,0.000,obo1,b4290
b2242,b1684,0.500,obo1,b2242
b1684,b2242,0.000,obo2,b2242
b2241,b3735,0.500,obo1,b2241
b3735,b2241,0.000,obo2,b2241
b2240,b2535,0.500,obo1,b2240
b2535,b2240,0.000,obo2,b2240
b3604,b3606,0.909,obo1,b3604
b3606,b1923,0.818,obo2,b3604
b1923,b2661,0.727,obo1,b3604
b2661,b3296,0.636,obo2,b3604
b3296,b0724,0.545,obo1,b3604
b0724,b1225,0.455,obo2,b3604
b1225,b3307,0.364,obo1,b3604
b3307,b1632,0.273,obo2,b3604
b1632,b1883,0.182,obo1,b3604
b1883,b1224,0.091,obo2,b3604
b1224,b1883,0.000,obo1,b3604
b0143,b1955,0.923,obo1,b0143
b1955,b3604,0.846,obo2,b0143
b3604,b3606,0.769,obo1,b0143
b3606,b1923,0.692,obo2,b0143
b1923,b2661,0.615,obo1,b0143
b2661,b3296,0.538,obo2,b0143
b3296,b0724,0.462,obo1,b0143
b0724,b1225,0.385,obo2,b0143
b1225,b3307,0.308,obo1,b0143
b3307,b1632,0.231,obo2,b0143
b1632,b1883,0.154,obo1,b0143
b1883,b1224,0.077,obo2,b0143
b1224,b1883,0.000,obo1,b0143
b3606,b1923,0.900,obo1,b3606
b1923,b2661,0.800,obo2,b3606
b2661,b3296,0.700,obo1,b3606
b3296,b0724,0.600,obo2,b3606
b0724,b1225,0.500,obo1,b3606
b1225,b3307,0.400,obo2,b3606
b3307,b1632,0.300,obo1,b3606
b1632,b1883,0.200,obo2,b3606
b1883,b1224,0.100,obo1,b3606
b1224,b1883,0.000,obo2,b3606
b4153,b4224,0.667,obo1,b4153
b4224,b0033,0.333,obo2,b4153
b0033,b4224,0.000,obo1,b4153
b0146,b0419,0.667,obo1,b0146
b0419,b0523,0.333,obo2,b0146
b0523,b0419,0.000,obo1,b0146
b3769,b3098,0.750,obo1,b3769
b3098,b3750,0.500,obo2,b3769
b3750,b3958,0.250,obo1,b3769
b3958,b3750,0.000,obo2,b3769
b3603,b1917,0.923,obo1,b3603
b1917,b3623,0.846,obo2,b3603
b3623,b3168,0.769,obo1,b3603
b3168,b1886,0.692,obo2,b3603
b1886,b3640,0.615,obo1,b3603
b3640,b2199,0.538,obo2,b3603
b2199,b2600,0.462,obo1,b3603
b2600,b2281,0.385,obo2,b3603
b2281,b1628,0.308,obo1,b3603
b1628,b3959,0.231,obo2,b3603
b3959,b0118,0.154,obo1,b3603
b0118,b0863,0.077,obo2,b3603
b0863,b2600,0.000,obo1,b3603
b0238,b0880,0.500,obo1,b0238
b0880,b0238,0.000,obo2,b0238
b2341,b2309,0.833,obo1,b2341
b2309,b2287,0.667,obo2,b2341
b2287,b1076,0.500,obo1,b2341
b1076,b0003,0.333,obo2,b2341
b0003,b1444,0.167,obo1,b2341
b1444,b0003,0.000,obo2,b2341
b3609,b3606,0.909,obo1,b3609
b3606,b1923,0.818,obo2,b3609
b1923,b2661,0.727,obo1,b3609
b2661,b3296,0.636,obo2,b3609
b3296,b0724,0.545,obo1,b3609
b0724,b1225,0.455,obo2,b3609
b1225,b3307,0.364,obo1,b3609
b3307,b1632,0.273,obo2,b3609
b1632,b1883,0.182,obo1,b3609
b1883,b1224,0.091,obo2,b3609
b1224,b1883,0.000,obo1,b3609
b1710,b2086,0.889,obo1,b1710
b2086,b3296,0.778,obo2,b1710
b3296,b0724,0.667,obo1,b1710
b0724,b1225,0.556,obo2,b1710
b1225,b3307,0.444,obo1,b1710
b3307,b1632,0.333,obo2,b1710
b1632,b1883,0.222,obo1,b1710
b1883,b1224,0.111,obo2,b1710
b1224,b1883,0.000,obo1,b1710
b3417,b2148,0.667,obo1,b3417
b2148,b3190,0.333,obo2,b3417
b3190,b2148,0.000,obo1,b3417
b3416,b1099,0.800,obo1,b3416
b1099,b0631,0.600,obo2,b3416
b0631,b1679,0.400,obo1,b3416
b1679,b3167,0.200,obo2,b3416
b3167,b1679,0.000,obo1,b3416
b2148,b3190,0.500,obo1,b2148
b3190,b2148,0.000,obo2,b2148
b2149,b3280,0.750,obo1,b2149
b3280,b2844,0.500,obo2,b2149
b2844,b0120,0.250,obo1,b2149
b0120,b2844,0.000,obo2,b2149
b3941,b3296,0.875,obo1,b3941
b3296,b0724,0.750,obo2,b3941
b0724,b1225,0.625,obo1,b3941
b1225,b3307,0.500,obo2,b3941
b3307,b1632,0.375,obo1,b3941
b1632,b1883,0.250,obo2,b3941
b1883,b1224,0.125,obo1,b3941
b1224,b1883,0.000,obo2,b3941
b4200,b3604,0.917,obo1,b4200
b3604,b3606,0.833,obo2,b4200
b3606,b1923,0.750,obo1,b4200
b1923,b2661,0.667,obo2,b4200
b2661,b3296,0.583,obo1,b4200
b3296,b0724,0.500,obo2,b4200
b0724,b1225,0.417,obo1,b4200
b1225,b3307,0.333,obo2,b4200
b3307,b1632,0.250,obo1,b4200
b1632,b1883,0.167,obo2,b4200
b1883,b1224,0.083,obo1,b4200
b1224,b1883,0.000,obo2,b4200
b0285,b0284,0.800,obo1,b0285
b0284,b1632,0.600,obo2,b0285
b1632,b1883,0.400,obo1,b0285
b1883,b1224,0.200,obo2,b0285
b1224,b1883,0.000,obo1,b0285
b0284,b1632,0.750,obo1,b0284
b1632,b1883,0.500,obo2,b0284
b1883,b1224,0.250,obo1,b0284
b1224,b1883,0.000,obo2,b0284
b2146,b2283,0.750,obo1,b2146
b2283,b1244,0.500,obo2,b2146
b1244,b2296,0.250,obo1,b2146
b2296,b1244,0.000,obo2,b2146
b2415,b2276,0.875,obo1,b2415
b2276,b1709,0.750,obo2,b2415
b1709,b0285,0.625,obo1,b2415
b0285,b0284,0.500,obo2,b2415
b0284,b1632,0.375,obo1,b2415
b1632,b1883,0.250,obo2,b2415
b1883,b1224,0.125,obo1,b2415
b1224,b1883,0.000,obo2,b2415
b1244,b2296,0.500,obo1,b1244
b2296,b1244,0.000,obo2,b1244
b0283,b1724,0.500,obo1,b0283
b1724,b0283,0.000,obo2,b0283
b2143,b2421,0.857,obo1,b2143
b2421,b2313,0.714,obo2,b2143
b2313,b3987,0.571,obo1,b2143
b3987,b2498,0.429,obo2,b2143
b2498,b4045,0.286,obo1,b2143
b4045,b2019,0.143,obo2,b2143
b2019,b4045,0.000,obo1,b2143
b3785,b1925,0.750,obo1,b3785
b1925,b1883,0.500,obo2,b3785
b1883,b1224,0.250,obo1,b3785
b1224,b1883,0.000,obo2,b3785
b3784,b3931,0.917,obo1,b3784
b3931,b0948,0.833,obo2,b3784
b0948,b3923,0.750,obo1,b3784
b3923,b2665,0.667,obo2,b3784
b2665,b1967,0.583,obo1,b3784
b1967,b1628,0.500,obo2,b3784
b1628,b3959,0.417,obo1,b3784
b3959,b0118,0.333,obo2,b3784
b0118,b0863,0.250,obo1,b3784
b0863,b2600,0.167,obo2,b3784
b2600,b2281,0.083,obo1,b3784
b2281,b1628,0.000,obo2,b3784
b3787,b2869,0.917,obo1,b3787
b2869,b3540,0.833,obo2,b3787
b3540,b3923,0.750,obo1,b3787
b3923,b2665,0.667,obo2,b3787
b2665,b1967,0.583,obo1,b3787
b1967,b1628,0.500,obo2,b3787
b1628,b3959,0.417,obo1,b3787
b3959,b0118,0.333,obo2,b3787
b0118,b0863,0.250,obo1,b3787
b0863,b2600,0.167,obo2,b3787
b2600,b2281,0.083,obo1,b3787
b2281,b1628,0.000,obo2,b3787
b1245,b1300,0.750,obo1,b1245
b1300,b2526,0.500,obo2,b1245
b2526,b3869,0.250,obo1,b1245
b3869,b1245,0.000,obo2,b1245
b3868,b1943,0.500,obo1,b3868
b1943,b3868,0.000,obo2,b3868
b3869,b1245,0.750,obo1,b3869
b1245,b1300,0.500,obo2,b3869
b1300,b2526,0.250,obo1,b3869
b2526,b3869,0.000,obo2,b3869
b3789,b2150,0.875,obo1,b3789
b2150,b2796,0.750,obo2,b3789
b2796,b3384,0.625,obo1,b3789
b3384,b0926,0.500,obo2,b3789
b0926,b1849,0.375,obo1,b3789
b1849,b1444,0.250,obo2,b3789
b1444,b0003,0.125,obo1,b3789
b0003,b1444,0.000,obo2,b3789
b3788,b0895,0.875,obo1,b3788
b0895,b4122,0.750,obo2,b3788
b4122,b1900,0.625,obo1,b3788
b1900,b4381,0.500,obo2,b3788
b4381,b1891,0.375,obo1,b3788
b1891,b0523,0.250,obo2,b3788
b0523,b0419,0.125,obo1,b3788
b0419,b0523,0.000,obo2,b3788
b2092,b0150,0.857,obo1,b2092
b0150,b2677,0.714,obo2,b2092
b2677,b2282,0.571,obo1,b2092
b2282,b1891,0.429,obo2,b2092
b1891,b0523,0.286,obo1,b2092
b0523,b0419,0.143,obo2,b2092
b0419,b0523,0.000,obo1,b2092
b2093,b0015,0.750,obo1,b2093
b0015,b0523,0.500,obo2,b2093
b0523,b0419,0.250,obo1,b2093
b0419,b0523,0.000,obo2,b2093
b2091,b4014,0.667,obo1,b2091
b4014,b3239,0.333,obo2,b2091
b3239,b4014,0.000,obo1,b2091
b2097,b2799,0.800,obo1,b2097
b2799,b1732,0.600,obo2,b2097
b1732,b3507,0.400,obo1,b2097
b3507,b3388,0.200,obo2,b2097
b3388,b3507,0.000,obo1,b2097
b2094,b1444,0.667,obo1,b2094
b1444,b0003,0.333,obo2,b2094
b0003,b1444,0.000,obo1,b2094
b2095,b1799,0.833,obo1,b2095
b1799,b3731,0.667,obo2,b2095
b3731,b3650,0.500,obo1,b2095
b3650,b0114,0.333,obo2,b2095
b0114,b0750,0.167,obo1,b2095
b0750,b0114,0.000,obo2,b2095
b3250,b4072,0.800,obo1,b3250
b4072,b1864,0.600,obo2,b3250
b1864,b2038,0.400,obo1,b3250
b2038,b2423,0.200,obo2,b3250
b2423,b4072,0.000,obo1,b3250
b0914,b4081,0.750,obo1,b0914
b4081,b1000,0.500,obo2,b0914
b1000,b1602,0.250,obo1,b0914
b1602,b1000,0.000,obo2,b0914
b1947,b1631,0.800,obo1,b1947
b1631,b0058,0.600,obo2,b1947
b0058,b1444,0.400,obo1,b1947
b1444,b0003,0.200,obo2,b1947
b0003,b1444,0.000,obo1,b1947
b0911,b2675,0.875,obo1,b0911
b2675,b0831,0.750,obo2,b0911
b0831,b2037,0.625,obo1,b0911
b2037,b1864,0.500,obo2,b0911
b1864,b2038,0.375,obo1,b0911
b2038,b2423,0.250,obo2,b0911
b2423,b4072,0.125,obo1,b0911
b4072,b1864,0.000,obo2,b0911
b0910,b4097,0.929,obo1,b0910
b4097,b4100,0.857,obo2,b0910
b4100,b1825,0.786,obo1,b0910
b1825,b1129,0.714,obo2,b0910
b1129,b4119,0.643,obo1,b0910
b4119,b0726,0.571,obo2,b0910
b0726,b3748,0.500,obo1,b0910
b3748,b2341,0.429,obo2,b0910
b2341,b2309,0.357,obo1,b0910
b2309,b2287,0.286,obo2,b0910
b2287,b1076,0.214,obo1,b0910
b1076,b0003,0.143,obo2,b0910
b0003,b1444,0.071,obo1,b0910
b1444,b0003,0.000,obo2,b0910
b1712,b0523,0.667,obo1,b1712
b0523,b0419,0.333,obo2,b1712
b0419,b0523,0.000,obo1,b1712
b1492,b0895,0.875,obo1,b1492
b0895,b4122,0.750,obo2,b1492
b4122,b1900,0.625,obo1,b1492
b1900,b4381,0.500,obo2,b1492
b4381,b1891,0.375,obo1,b1492
b1891,b0523,0.250,obo2,b1492
b0523,b0419,0.125,obo1,b1492
b0419,b0523,0.000,obo2,b1492
b2569,b1767,0.750,obo1,b2569
b1767,b0003,0.500,obo2,b2569
b0003,b1444,0.250,obo1,b2569
b1444,b0003,0.000,obo2,b2569
b3566,b1067,0.800,obo1,b3566
b1067,b1767,0.600,obo2,b3566
b1767,b0003,0.400,obo1,b3566
b0003,b1444,0.200,obo2,b3566
b1444,b0003,0.000,obo1,b3566
b3748,b2341,0.857,obo1,b3748
b2341,b2309,0.714,obo2,b3748
b2309,b2287,0.571,obo1,b3748
b2287,b1076,0.429,obo2,b3748
b1076,b0003,0.286,obo1,b3748
b0003,b1444,0.143,obo2,b3748
b1444,b0003,0.000,obo1,b3748
b1066,b1767,0.750,obo1,b1066
b1767,b0003,0.500,obo2,b1066
b0003,b1444,0.250,obo1,b1066
b1444,b0003,0.000,obo2,b1066
b1067,b1767,0.750,obo1,b1067
b1767,b0003,0.500,obo2,b1067
b0003,b1444,0.250,obo1,b1067
b1444,b0003,0.000,obo2,b1067
b1064,b1664,0.750,obo1,b1064
b1664,b1602,0.500,obo2,b1064
b1602,b1000,0.250,obo1,b1064
b1000,b1602,0.000,obo2,b1064
b1062,b0438,0.800,obo1,b1062
b0438,b1938,0.600,obo2,b1062
b1938,b3239,0.400,obo1,b1062
b3239,b4014,0.200,obo2,b1062
b4014,b3239,0.000,obo1,b1062
b1990,b2682,0.667,obo1,b1990
b2682,b1784,0.333,obo2,b1990
b1784,b2682,0.000,obo1,b1990
b4188,b2203,0.500,obo1,b4188
b2203,b4188,0.000,obo2,b4188
b3846,b3541,0.933,obo1,b3846
b3541,b1088,0.867,obo2,b3846
b1088,b1939,0.800,obo1,b3846
b1939,b3993,0.733,obo2,b3846
b3993,b0439,0.667,obo1,b3846
b0439,b3288,0.600,obo2,b3846
b3288,b4315,0.533,obo1,b3846
b4315,b3393,0.467,obo2,b3846
b3393,b2281,0.400,obo1,b3846
b2281,b1628,0.333,obo2,b3846
b1628,b3959,0.267,obo1,b3846
b3959,b0118,0.200,obo2,b3846
b0118,b0863,0.133,obo1,b3846
b0863,b2600,0.067,obo2,b3846
b2600,b2281,0.000,obo1,b3846
b3183,b1897,0.750,obo1,b3183
b1897,b1921,0.500,obo2,b3183
b1921,b0861,0.250,obo1,b3183
b0861,b1921,0.000,obo2,b3183
b2796,b3384,0.833,obo1,b2796
b3384,b0926,0.667,obo2,b2796
b0926,b1849,0.500,obo1,b2796
b1849,b1444,0.333,obo2,b2796
b1444,b0003,0.167,obo1,b2796
b0003,b1444,0.000,obo2,b2796
b3337,b2890,0.857,obo1,b3337
b2890,b0285,0.714,obo2,b3337
b0285,b0284,0.571,obo1,b3337
b0284,b1632,0.429,obo2,b3337
b1632,b1883,0.286,obo1,b3337
b1883,b1224,0.143,obo2,b3337
b1224,b1883,0.000,obo1,b3337
b2890,b0285,0.833,obo1,b2890
b0285,b0284,0.667,obo2,b2890
b0284,b1632,0.500,obo1,b2890
b1632,b1883,0.333,obo2,b2890
b1883,b1224,0.167,obo1,b2890
b1224,b1883,0.000,obo2,b2890
b2891,b0284,0.800,obo1,b2891
b0284,b1632,0.600,obo2,b2891
b1632,b1883,0.400,obo1,b2891
b1883,b1224,0.200,obo2,b2891
b1224,b1883,0.000,obo1,b2891
b2025,b4072,0.800,obo1,b2025
b4072,b1864,0.600,obo2,b2025
b1864,b2038,0.400,obo1,b2025
b2038,b2423,0.200,obo2,b2025
b2423,b4072,0.000,obo1,b2025
b2024,b0440,0.667,obo1,b2024
b0440,b2035,0.333,obo2,b2024
b2035,b0440,0.000,obo1,b2024
b2023,b2497,0.750,obo1,b2023
b2497,b3024,0.500,obo2,b2023
b3024,b0922,0.250,obo1,b2023
b0922,b3024,0.000,obo2,b2023
b2022,b0737,0.800,obo1,b2022
b0737,b2662,0.600,obo2,b2022
b2662,b2614,0.400,obo1,b2022
b2614,b3012,0.200,obo2,b2022
b3012,b0737,0.000,obo1,b2022
b2021,b3983,0.667,obo1,b2021
b3983,b1818,0.333,obo2,b2021
b1818,b3983,0.000,obo1,b2021
b2020,b4045,0.667,obo1,b2020
b4045,b2019,0.333,obo2,b2020
b2019,b4045,0.000,obo1,b2020
b3726,b0635,0.500,obo1,b3726
b0635,b3726,0.000,obo2,b3726
b0750,b0114,0.500,obo1,b0750
b0114,b0750,0.000,obo2,b0750
b2782,b1883,0.667,obo1,b2782
b1883,b1224,0.333,obo2,b2782
b1224,b1883,0.000,obo1,b2782
b4322,b2528,0.909,obo1,b4322
b2528,b3992,0.818,obo2,b4322
b3992,b3185,0.727,obo1,b4322
b3185,b0433,0.636,obo2,b4322
b0433,b3959,0.545,obo1,b4322
b3959,b0118,0.455,obo2,b4322
b0118,b0863,0.364,obo1,b4322
b0863,b2600,0.273,obo2,b4322
b2600,b2281,0.182,obo1,b4322
b2281,b1628,0.091,obo2,b4322
b1628,b3959,0.000,obo1,b4322
b1208,b1709,0.857,obo1,b1208
b1709,b0285,0.714,obo2,b1208
b0285,b0284,0.571,obo1,b1208
b0284,b1632,0.429,obo2,b1208
b1632,b1883,0.286,obo1,b1208
b1883,b1224,0.143,obo2,b1208
b1224,b1883,0.000,obo1,b1208
b1619,b3313,0.833,obo1,b1619
b3313,b0720,0.667,obo2,b1619
b0720,b0727,0.500,obo1,b1619
b0727,b1883,0.333,obo2,b1619
b1883,b1224,0.167,obo1,b1619
b1224,b1883,0.000,obo2,b1619
b1614,b0999,0.800,obo1,b1614
b0999,b1938,0.600,obo2,b1614
b1938,b3239,0.400,obo1,b1614
b3239,b4014,0.200,obo2,b1614
b4014,b3239,0.000,obo1,b1614
b1611,b1939,0.923,obo1,b1611
b1939,b3993,0.846,obo2,b1611
b3993,b0439,0.769,obo1,b1611
b0439,b3288,0.692,obo2,b1611
b3288,b4315,0.615,obo1,b1611
b4315,b3393,0.538,obo2,b1611
b3393,b2281,0.462,obo1,b1611
b2281,b1628,0.385,obo2,b1611
b1628,b3959,0.308,obo1,b1611
b3959,b0118,0.231,obo2,b1611
b0118,b0863,0.154,obo1,b1611
b0863,b2600,0.077,obo2,b1611
b2600,b2281,0.000,obo1,b1611
b1207,b1890,0.750,obo1,b1207
b1890,b2239,0.500,obo2,b1207
b2239,b2302,0.250,obo1,b1207
b2302,b1207,0.000,obo2,b1207
b1205,b4288,0.750,obo1,b1205
b4288,b0355,0.500,obo2,b1205
b0355,b0437,0.250,obo1,b1205
b0437,b0355,0.000,obo2,b1205
b1198,b1923,0.900,obo1,b1198
b1923,b2661,0.800,obo2,b1198
b2661,b3296,0.700,obo1,b1198
b3296,b0724,0.600,obo2,b1198
b0724,b1225,0.500,obo1,b1198
b1225,b3307,0.400,obo2,b1198
b3307,b1632,0.300,obo1,b1198
b1632,b1883,0.200,obo2,b1198
b1883,b1224,0.100,obo1,b1198
b1224,b1883,0.000,obo2,b1198
b1199,b0071,0.857,obo1,b1199
b0071,b2317,0.714,obo2,b1199
b2317,b1388,0.571,obo1,b1199
b1388,b0865,0.429,obo2,b1199
b0865,b1224,0.286,obo1,b1199
b1224,b1883,0.143,obo2,b1199
b1883,b1224,0.000,obo1,b1199
b3981,b0151,0.500,obo1,b3981
b0151,b3981,0.000,obo2,b3981
b1197,b1536,0.500,obo1,b1197
b1536,b1197,0.000,obo2,b1197
b1927,b0979,0.889,obo1,b1927
b0979,b1208,0.778,obo2,b1927
b1208,b1709,0.667,obo1,b1927
b1709,b0285,0.556,obo2,b1927
b0285,b0284,0.444,obo1,b1927
b0284,b1632,0.333,obo2,b1927
b1632,b1883,0.222,obo1,b1927
b1883,b1224,0.111,obo2,b1927
b1224,b1883,0.000,obo1,b1927
b3003,b3361,0.667,obo1,b3003
b3361,b1086,0.333,obo2,b3003
b1086,b3361,0.000,obo1,b3003
b1925,b1883,0.667,obo1,b1925
b1883,b1224,0.333,obo2,b1925
b1224,b1883,0.000,obo1,b1925
b1883,b1224,0.500,obo1,b1883
b1224,b1883,0.000,obo2,b1883
b1923,b2661,0.889,obo1,b1923
b2661,b3296,0.778,obo2,b1923
b3296,b0724,0.667,obo1,b1923
b0724,b1225,0.556,obo2,b1923
b1225,b3307,0.444,obo1,b1923
b3307,b1632,0.333,obo2,b1923
b1632,b1883,0.222,obo1,b1923
b1883,b1224,0.111,obo2,b1923
b1224,b1883,0.000,obo1,b1923
b1922,b1883,0.667,obo1,b1922
b1883,b1224,0.333,obo2,b1922
b1224,b1883,0.000,obo1,b1922
b1297,b2080,0.833,obo1,b1297
b2080,b0384,0.667,obo2,b1297
b0384,b3403,0.500,obo1,b1297
b3403,b1883,0.333,obo2,b1297
b1883,b1224,0.167,obo1,b1297
b1224,b1883,0.000,obo2,b1297
b1920,b0198,0.800,obo1,b1920
b0198,b0866,0.600,obo2,b1920
b0866,b1602,0.400,obo1,b1920
